name,address,telephone
RADUGA ZDOROVYA PRIVATE CLINIC,"Uzbekistan, Tashkent, Uchtepa district, street FOZILTEPA, 25 A",+998 95 1939899
RA'NO FAYZ DIAGNOSTIC CENTRE,"Uzbekistan, 100000, Tashkent, Almazar district, street SAGBAN, 46 B",+998 95 1464141
REMEDIUM CLINIC MEDICAL CENTER,"Uzbekistan, Tashkent, Shaykhantakhur district, street KUKCHA DARVOZA, 11",+998 95 1422000
RUSTAMOV'S PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Mirzo-ulugbek district, massif FERUZA, 20 A",+998 99 8442003
SAKINA SHIFO CLINIC,"Uzbekistan, 177144, Tashkent, Mirzo-ulugbek district, street BUYUK IPAK YULI, 332",+998 71 2643462
SAXOVATBU PRIVATE CLINIC,"Uzbekistan, 100156, Tashkent, Chilanzar district, massif CHILANZAR-20A, street KATTA KA'NI, 18",+998 71 2162220
SAYFULLON-OTA SHIFO PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Yunusabad district, street YUNUSABAD 13, street YANGISHAHAR, 64 А",+998 71 2310803
SAYID-FARM SERVIS PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Almazar district, street SAGBAN, 2 А",+998 71 2279091
SEBZOR MED MEDICAL CENTER,"Uzbekistan, Tashkent, Almazar district, street SEBZAR, 2 А",+998 71 2406644
SHAMS MED PRIVATE CLINIC,"Uzbekistan, 100080, Tashkent, Mirabad district, massif KUYLYUK-3, street YANGI KUYLYUK, 1 B",+998 95 4750088
SHIFO-DONO PRIVATE CLINIC,"Uzbekistan, 100093, Tashkent, Yunusabad district, massif YUNUSABAD-4, street AKHMAD DONISH, 4",+998 71 2240313
SHIFO-NUR EXIMER PRIVATE CLINIC ALMAZAR BRANCH,"Uzbekistan, 100000, Tashkent, Almazar district, street LYANGAR, street MOYKURGAN, 2 B",+998 71 2496727
SIHAT KO'Z OPHTHALMOLOGIC CLINIC,"Uzbekistan, 100093, Tashkent, Yunusabad district, massif YUNUSABAD-4, 4",+998 71 2241313
SIHAT OILA PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Yunusabad district, street AKHMAD DONISH, 61",+998 71 2319992
SMART DOCTOR PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Shaykhantakhur district, street GULKHANIY, 12",+998 55 5005252
SOLTY SALT ROOM,"Uzbekistan, 100000, Tashkent, Mirzo-ulugbek district, massif BUYUK IPAK YULI, 17/22",+998 71 2337896
SPECTRA NEUROLOGY NEUROLOGIC CLINIC,"Uzbekistan, Tashkent, Yashnabad district, massif TUZEL-1, 52",+998 71 2932008
