name,address,telephone
LIFE MEDIUM CLINIC,"Uzbekistan, 100000, Tashkent, Mirzo-ulugbek district, street Lashkarlar, 8",+998 55 5170153
MEDICANA MEDICAL CENTER,"Uzbekistan, 100000, Tashkent, Yashnabad district, massif AVIASOZLAR-4,",+998 71 2310648
MENTAL MED SERVICE BRANCH LABZAC,"Uzbekistan, 100128, Tashkent, Shaykhantakhur district, travel LABZAK, 10 V",+998 55 5175133
MENTAL MED SERVICE BRANCH YASHNABAD,"Uzbekistan, 100000, Tashkent, Yashnabad district, travel 2-nd BIRLASHGAN, 3 A",+998 55 5175133
REACENTER TOSHKENT MEDICAL CENTER,"Uzbekistan, 100000, Tashkent, Mirzo-ulugbek district, street BUYUK IPAK YULI, 305",+998 55 5170162
Saba Darmon Diagnostic (Branch 1),"Uzbekistan, 100021, Tashkent, Shaykhantakhur district, massif BOGKUCHA, 17 А",+998 71 2310452
SAFO TIBBIYOT MEDICAL CENTER,"Uzbekistan, 100100, Tashkent, Yakkasaray district, street KICHIK MIRABAD, 15/21",+998 71 2310673
U Clinic,"Uzbekistan, 100000, Tashkent, Uchtepa district, street NURAFSHON, 3",+998 55 5175166
VITROS DIAGNOSTICS (ДРУЖБА),"Uzbekistan, 100000, Tashkent, Chilanzar district, street BUNYODKOR, 8б",+998 55 5170158
VITROS DIAGNOSTICS (МАХТУМКУЛИ),"Uzbekistan, 100000, Tashkent, Yashnabad district, street MAKHTUMKULI, 117",+998 55 5170158
VITROS DIAGNOSTICS (САЙРАМ),"Uzbekistan, 100000, Tashkent, Yunusabad district, street YUNUS-OTA, 58",+998 55 5170158
VITROS DIAGNOSTICS (Салом),"Uzbekistan, 100000, Tashkent, Mirzo-ulugbek district, street BUYUK IPAK YULI, 139",+998 55 5170158
Welcome Clinic,"Uzbekistan, 100000, Tashkent, Yunusabad district, street DEKHKANABAD, 5А",+998 55 5170181
ZILOLA MEDICAL PRIVATE CLINIC,"Uzbekistan, 100105, Tashkent, Mirabad district, street TOLLIMARJON, 43/1",+998 71 2911866
"""NSS"" MEDICAL CENTER","Uzbekistan, 100000, Tashkent, Almazar district, street FAROBI, 449Б",+998 55 5083030
Aakash Healthcare,"Uzbekistan, 100000, Tashkent, Uchtepa district, street LUTFI, 1 A",+998 55 5170197
Aaron Academy,"Uzbekistan, 100000, Tashkent, Mirabad district, street BUYUK IPAK YULI, 5а",+998 95 4550033
ABDUJAMSHID GROUP PRIVATE ENTERPRISE,"Uzbekistan, Tashkent, Chilanzar district, massif CHILANZAR-2, 29, office 37",+998 94 6884701
ALFA DIAGNOSTIC PRIVATE CLINIC,"Uzbekistan, Tashkent, Yashnabad district, street KORASUV, 4",+998 71 2969944
ALL MED SERVICE PRIVATE CLINIC,"Uzbekistan, 100187, Tashkent, Mirzo-ulugbek district, street BUYUK IPAK YULI, 131 А",+998 712668686 
ALMAZMED-LINE CENTR MULTIDISCIPLINARY CLINIC,"Uzbekistan, Tashkent, Yakkasaray district, street BOGIBUSTON, 178",+998 90 5900002
AMERICAN HOSPITAL MEDICAL CENTRE,"Uzbekistan, Tashkent, Yunusabad district, street IKBOL, 14",+998 71 2090303
Anadolu Medical Center,"Uzbekistan, 100000, Tashkent, Yakkasaray district, street RAKAT, 10/25",+998 90 1144666
APICIS MED PRIVATE CLINIC,"Uzbekistan, 100143, Tashkent, Chilanzar district, avenue BUNYODKOR, 11 А",+998 71 2712920
AR-GENT PRIVATE CLINIC,"Uzbekistan, Tashkent, Yashnabad district, street MUMTOZ, 5",+998 95 1968641
ARTIKOV-LOR SERVIS PRIVATE CLINIC,"Uzbekistan, 100131, Tashkent, Uchtepa district, massif CHILANZAR-26, 24, office 87",+998 71 2727671
ASAD PRIVATE CLINIC,"Uzbekistan, 100009, Tashkent, Yunusabad district, street TIKLANISH, 1",+998 71 2249200
ASROR TIB SERVIS PRIVATE CLINIC,"Uzbekistan, Tashkent, Yakkasaray district, avenue BOBUR, 73 А",+998 95 1950103
AVISA MED SERVIS DIAGNOSTIC CENTRE,"Uzbekistan, 100072, Tashkent, Mirabad district, street ABDURAUF FITRAT, 1 А",+998 71 2939424
BABY MED SERVICE PRIVATE CLINIC,"Uzbekistan, Tashkent, Uchtepa district, travel 1-st DADIL, 1",+998 95 1696215
BAXODIR SHIFO DIAGNOSTICA DIAGNOSTIC CENTER,"Uzbekistan, 100000, Tashkent, Yashnabad district, massif AVIASOZLAR-2, street AVIASOZLAR, 56",+998 90 3725418
BESTLAB DIAGNOSTIC CENTER,"Uzbekistan, Tashkent, Yunusabad district, massif YUNUSABAD-3, 19",+998 99 0713003
BRAVO MED SERVICE PRIVATE CLINIC,"Uzbekistan, 100124, Tashkent, Mirzo-ulugbek district, street FERUZA, 12/36",+998 95 1464455
BTO BEAUTY CLINIC PLASTIC SURGERY CLINIC,"Uzbekistan, 100000, Tashkent, Chilanzar district, street KICHIK KHALKA YULI, 3",+998 78 1222252
CFS TABASSUM PRIVATE CLINIC,"Uzbekistan, Tashkent, Yashnabad district, street NASAF, 52",+998 93 5552212
CHILONZOR MED CENTER ENT CLINIC,"Uzbekistan, 100135, Tashkent, Chilanzar district, massif CHILANZAR-17, avenue BUNYODKOR, 33/1",+998 95 1977774
CHILONZOR TIBBIY KO'RIK PRIVATE CLINIC,"Uzbekistan, 100081, Tashkent, Chilanzar district, street NAKKOSHLIK, 7 А",+998 71 2793594
CHUNGYEON KOREAN MEDICINE CLINIC,"Uzbekistan, Tashkent, Mirzo-ulugbek district, travel 6-st NIYOZBEK YULI, 16",+998 90 0147334
COMFORT MED PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Sergeli district, street YANGI SERGELI YULI, 4",+998 71 2152966
CRISTAL MED SERVICE PRIVATE CLINIC,"Uzbekistan, 100019, Tashkent, Almazar district, street FAROBI, 2",+998 71 2465074
DARMON DIAGNOSTIKA SERVIS MEDICAL CENTER,"Uzbekistan, 100139, Tashkent, Uchtepa district, massif CHILANZAR-23, street LUTFI, 56",+998 71 2174700
DAVR MED SERVIS PRIVATE CLINIC,"Uzbekistan, 100115, Tashkent, Chilanzar district, street CHAPANATA, 1, apartment 12",+998 71 2778429
DENTA SERVIS FIZIOMED PRIVATE CLINIC,"Uzbekistan, 100043, Tashkent, Chilanzar district, street NOVZA, 16",+998 71 2452356
DERMACENTER,"Uzbekistan, 100194, Tashkent, Yunusabad district, massif YUNUSABAD-13, 64 A",+998 99 3013330
DERMATOLOGIYA VA KOSMETOLOGIYA PRIVATE CLINIC,"Uzbekistan, 100021, Tashkent, Shaykhantakhur district, street FURKAT, 8, офис 44",+998 71 2458010
DETOKS MEDICAL NARCOLOGICAL CLINIC,"Uzbekistan, 100180, Tashkent, Yunusabad district, massif YUNUSABAD-15, street AKHMAD DONISH, 75-77",+998 71 2201501
Dialab Medical Service (2nd Branch Yunusabad),"Uzbekistan, 100000, Tashkent, Yunusabad district, massif YUNUSABAD-3, 19Р/1",+998 55 5170211
Dialab Medical Service (Yunusabad Branch),"Uzbekistan, 100000, Tashkent, Yunusabad district, massif YUNUSABAD-3, street YANGISHAHAR,",+998 55 5170211
DIL SHIFO FARM PRIVATE CLINIC,"Uzbekistan, 100002, Tashkent, Shaykhantakhur district, street FAROBI, 14 А",+998 90 1750368
DMC MULTIDISCIPLINARY CLINIC OF DOCTOR MAKSUDOVA,"Uzbekistan, 100142, Tashkent, Mirzo-ulugbek district, street BUYUK IPAK YULI, 376",+998 95 4750303
DOCTOR ALLERGOLOG PRIVATE CLINIC,"Uzbekistan, Tashkent, Chilanzar district, street CHILANZAR, 89/1",+998 71 2772758
DOCTOR LOTOS SERVIS MEDICAL CENTER,"Uzbekistan, 100207, Tashkent, Yashnabad district, massif TUZEL-2, street GUZAL, 26",+998 95 1772299
DOCTOR MALIK PRIVATE CLINIC,"Uzbekistan, 100021, Tashkent, Shaykhantakhur district, massif CHORSU, 12, appartment 19",+998 71 2457713
DOCTOR SAIDAKHMEDOV PRIVATE CLINIC,"Uzbekistan, Tashkent, Mirzo-ulugbek district, massif KARASU-3, 4, office 47",+998 71 2666696
DOCTOR SHOIRA MEDICAL PRIVATE CLINIC,"Uzbekistan, Tashkent, Uchtepa district, street KUKCHA DARVOZA, 1",+998 99 8119912
DOCTOR TOBIAS ENT CLINIC,"Uzbekistan, Tashkent, Mirzo-ulugbek district, street OKKURGON, 14 A",+998 95 1770907
DOCTOR-M PRIVATE CLINIC,"Uzbekistan, Tashkent, Yunusabad district, avenue AMIR TEMUR, 118 A",+998 90 9529695
DOKTOR ELENA PRIVATE CLINIC,"Uzbekistan, Tashkent, Yashnabad district, street FARGONA YULI, 1, office 1",+998 71 2959467
DOKTOR LOR SHIFO PRIVATE CLINIC,"Uzbekistan, Tashkent, Mirzo-ulugbek district, street BUYUK IPAK YULI, 422, office 7",+998 71 2616138
DOKTOR PROFI PRIVATE CLINIC,"Uzbekistan, 100096, Tashkent, Chilanzar district, avenue BUNYODKOR, 2",+998 78 1202020
DOKTOR SATTAROV KLINIKASI PRIVATE CLINIC,"Uzbekistan, 100053, Tashkent, Yunusabad district, massif BODOMZOR, street CHINGIZ AYTMATOV, 112",+998 71 2354221
Doktor Shavkat-Stom (Yangishahar),"Uzbekistan, 100000, Tashkent, Yunusabad district, street YANGISHAHAR, 64А",+998 55 5175163
Doktor Shavkat-Stom (Yunusabad 13 kv-l),"Uzbekistan, 100000, Tashkent, Yunusabad district, massif YUNUSABAD-13, 58",+998 55 5175163
Doktor Shavkat-Stom (Yunusabad 15 kv-l),"Uzbekistan, 100000, Tashkent, Yunusabad district, massif YUNUSABAD-15, 72В",+998 55 5175163
DOKTOR VOHID PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Shaykhantakhur district, street MANNON UYGUR, 7, appartment 1",+998 71 2428049
DONOMED PRIVATE CLINIC,"Uzbekistan, Tashkent, Shaykhantakhur district, street intersection BERUNI-MATLUBOT, 1",+998 99 4005554
